client_id	round	local_train_ms	encode_gradient_ms	prove_ms	proof_size_bytes	sign_ms	signature_size_bytes
62	4	6.919	0.061	16.119	45	0.459	3309
63	4	4.848	0.034	14.935	45	0.203	3309
64	4	6.328	0.026	16.788	45	0.414	3309
65	4	7.799	0.039	14.705	45	0.356	3309
66	4	5.907	0.036	15.437	45	0.587	3309
67	4	5.090	0.035	15.035	45	0.268	3309
68	4	5.634	0.036	15.254	45	0.385	3309
69	4	5.961	0.025	15.779	45	0.277	3309
70	4	7.387	0.049	15.140	45	0.251	3309
71	4	10.072	0.027	18.306	45	0.292	3309
72	4	8.803	0.055	18.156	45	0.246	3309
73	4	8.673	0.057	18.141	45	0.395	3309
74	4	9.256	0.058	20.792	45	0.234	3309
75	4	7.884	0.037	17.318	45	0.292	3309
76	4	7.966	0.045	18.352	45	0.676	3309
77	4	10.987	0.064	18.738	45	0.398	3309
78	4	7.746	0.044	18.999	45	0.284	3309
79	4	8.685	0.057	22.280	45	0.233	3309
80	4	8.938	0.077	22.853	45	1.135	3309
81	4	12.052	0.036	18.666	45	0.326	3309
82	4	8.331	0.040	18.713	45	0.330	3309
83	4	8.216	0.057	19.126	45	0.304	3309
84	4	8.013	0.051	18.087	45	0.347	3309
85	4	15.354	0.105	34.757	45	0.429	3309
86	4	7.613	0.047	19.528	45	0.386	3309
87	4	6.872	0.040	17.675	45	0.181	3309
88	4	8.553	0.048	16.151	45	0.217	3309
89	4	8.187	0.059	15.714	45	0.247	3309
90	4	7.799	0.035	14.123	45	0.532	3309
91	4	8.199	0.045	15.469	45	0.218	3309
92	4	9.500	0.049	14.456	45	0.374	3309
93	4	7.720	0.074	13.764	45	0.177	3309
94	4	6.116	0.045	12.877	45	0.169	3309
95	4	5.609	0.035	12.229	45	0.154	3309
96	4	5.209	0.035	14.231	45	0.375	3309
97	4	7.301	0.036	14.167	45	0.205	3309
98	4	8.908	0.054	12.969	45	0.168	3309
99	4	5.217	0.035	12.876	45	0.289	3309
0	0	17181.888	15.092	14.526	43	0.384	3309
